日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-02-28,1.07,1.024,1.07,1.01,7208770,745694416.0,5.57,-5.01,-0.054,29.59
2020-03-02,1.051,1.076,1.098,1.023,6487653,687384368.0,7.32,5.08,0.052,26.63
2020-03-03,1.118,1.068,1.127,1.056,10296252,1126398224.0,6.6,-0.74,-0.008,42.27
2020-03-04,1.05,1.032,1.058,1.009,8500932,876601728.0,4.59,-3.37,-0.036,34.9
2020-03-05,1.068,1.041,1.068,1.02,8719725,908428352.0,4.65,0.87,0.009,35.8
2020-03-06,1.021,1.027,1.037,1.015,4596951,471397504.0,2.11,-1.34,-0.014,18.87
2020-03-09,1.009,0.978,1.024,0.976,12028799,1201430320.0,4.67,-4.77,-0.049,49.38
2020-03-10,0.97,1.032,1.032,0.966,10223663,1024848816.0,6.75,5.52,0.054,41.97
2020-03-11,1.041,1.012,1.063,1.01,11079548,1149903296.0,5.14,-1.94,-0.02,45.48
2020-03-12,0.995,0.997,1.004,0.979,9946361,984580496.0,2.47,-1.48,-0.015,40.83
2020-03-13,0.956,0.998,1.014,0.941,10421998,1021000512.0,7.32,0.1,0.001,42.78
2020-03-16,1.004,0.911,1.004,0.906,16495465,1560945232.0,9.82,-8.72,-0.087,67.72
2020-03-17,0.93,0.893,0.936,0.854,9212075,822641056.0,9.0,-1.98,-0.018,37.82
2020-03-18,0.902,0.871,0.924,0.87,8663720,781588576.0,6.05,-2.46,-0.022,35.57
2020-03-19,0.877,0.898,0.91,0.854,10028652,883275040.0,6.43,3.1,0.027,41.17
2020-03-20,0.911,0.899,0.915,0.878,6615576,592960400.0,4.12,0.11,0.001,27.16
2020-03-23,0.87,0.843,0.877,0.837,9446150,813034304.0,4.45,-6.23,-0.056,38.78
2020-03-24,0.864,0.862,0.868,0.822,7897705,671862880.0,5.46,2.25,0.019,32.42
2020-03-25,0.883,0.895,0.902,0.882,9464992,844144896.0,2.32,3.83,0.033,38.85
2020-03-26,0.883,0.871,0.89,0.871,4199462,369287920.0,2.12,-2.68,-0.024,17.24
2020-03-27,0.885,0.861,0.889,0.86,4290373,374568336.0,3.33,-1.15,-0.01,17.61
2020-03-30,0.842,0.84,0.852,0.815,7757686,644542656.0,4.3,-2.44,-0.021,31.85
2020-03-31,0.851,0.832,0.854,0.831,4375371,368342560.0,2.74,-0.95,-0.008,17.96
2020-04-01,0.829,0.837,0.861,0.826,6458657,547215664.0,4.21,0.6,0.005,26.51
2020-04-02,0.838,0.885,0.885,0.834,8500474,732463264.0,6.09,5.73,0.048,34.9
2020-04-03,0.876,0.869,0.882,0.862,4680009,407424560.0,2.26,-1.81,-0.016,19.21
2020-04-07,0.892,0.893,0.898,0.886,4466799,398649088.0,1.38,2.76,0.024,18.34
2020-04-08,0.887,0.898,0.909,0.885,4034713,363277984.0,2.69,0.56,0.005,16.56
2020-04-09,0.907,0.897,0.909,0.892,2112870,189879973.0,1.89,-0.11,-0.001,8.67
2020-04-10,0.896,0.862,0.896,0.858,4801096,417871088.0,4.24,-3.9,-0.035,19.71
2020-04-13,0.851,0.838,0.853,0.833,4047508,340587472.0,2.32,-2.78,-0.024,16.62
2020-04-14,0.848,0.867,0.868,0.847,3647709,312463408.0,2.51,3.46,0.029,14.97
2020-04-15,0.87,0.872,0.89,0.865,4040966,354811168.0,2.88,0.58,0.005,16.59
2020-04-16,0.865,0.874,0.879,0.856,2602722,226168816.0,2.64,0.23,0.002,10.68
2020-04-17,0.887,0.891,0.906,0.887,6196592,556339696.0,2.17,1.95,0.017,25.44
2020-04-20,0.893,0.902,0.902,0.889,2296925,205955627.0,1.46,1.23,0.011,9.43
2020-04-21,0.892,0.891,0.9,0.876,2850139,252683631.0,2.66,-1.22,-0.011,11.7
2020-04-22,0.879,0.894,0.894,0.879,2377968,211096027.0,1.68,0.34,0.003,9.76
2020-04-23,0.895,0.878,0.897,0.877,2283582,201988007.0,2.24,-1.79,-0.016,9.37
2020-04-24,0.877,0.862,0.885,0.857,2497621,216786922.0,3.19,-1.82,-0.016,10.25
2020-04-27,0.865,0.867,0.875,0.853,2017444,174700349.0,2.55,0.58,0.005,8.28
2020-04-28,0.867,0.885,0.89,0.846,4306333,377470128.0,5.07,2.08,0.018,17.68
2020-04-29,0.883,0.887,0.892,0.88,1932486,171606667.0,1.36,0.23,0.002,7.93
2020-04-30,0.897,0.934,0.94,0.896,7207041,665964224.0,4.96,5.3,0.047,29.59
2020-05-06,0.927,0.97,0.97,0.925,4987993,475237152.0,4.82,3.85,0.036,20.48
2020-05-07,0.985,0.966,0.994,0.961,4326952,422587040.0,3.4,-0.41,-0.004,17.76
2020-05-08,0.972,0.973,0.987,0.965,3567909,348290832.0,2.28,0.72,0.007,14.65
2020-05-11,0.982,0.973,0.987,0.964,3045988,297627680.0,2.36,0.0,0.0,12.5
2020-05-12,0.971,0.977,0.979,0.953,3332515,322141040.0,2.67,0.41,0.004,13.68
2020-05-13,0.965,0.979,0.985,0.964,2680170,261146992.0,2.15,0.2,0.002,11.0
2020-05-14,0.973,0.97,0.983,0.969,1941571,189338557.0,1.43,-0.92,-0.009,7.97
2020-05-15,0.973,0.983,0.996,0.969,3955550,389098720.0,2.78,1.34,0.013,16.24
2020-05-18,0.983,0.934,0.984,0.93,5564788,527785024.0,5.49,-4.98,-0.049,22.84
2020-05-19,0.942,0.953,0.953,0.935,3380385,320041616.0,1.93,2.03,0.019,13.88
